title|usage|meaning
～あげる／やる／差し上げる（さしあげる）|[主語（与え手）] は [受け手] に [物] をあげる[主語（与え手）] から [受け手] に [物] をあげる|给…
～あまり|数字＋助数詞＋あまり|…多
～あまり／～あまりに／～のあまり／～のあまりに|名詞＋のあまり（に）動詞＋あまり（に）（ナ形容詞語幹＋なあまり）|过度…过于…太…由于过度…而…
～間／間に|名詞＋の＋間／間に動詞普通形＋間／間に|在…期间在…之间趁…时候
～後に／後で|名詞＋の後で（あとで）名詞＋の後に（あとに）名詞＋後（ご）時間名詞＋後（ご）動た形＋後で動た形＋後に|…之后
～合う|動ます形＋合う|互相…
～上がる（あがる）／上げる（あげる）|動ます形＋上がる|①…完成了／…好了／成起来②…起来／向上…③極限状態
あまり～と／あまりに～と／あまりにも～と／あんまり～と／あんまりにも～と|あまりにも＋イ形容詞＋とあまりにも＋ナ形容詞＋だとあまりにも＋動詞＋と|过于…（的话）,（要是）太…
あまり～ない／あんまり～ない|あまり／あんまり＋ナ形容詞＋ではないあまり／あんまり＋イ形容詞語幹＋くないあまり＋動ない形|不太…不（没）怎么…没多少…
あまりに～／あまりにも～／あんまりにも～|あまりに（も）＋イ形容詞あまりに（も）＋ナ形容詞あまりに（も）＋動詞|太…总是…
あまりの～に／あまりの～で|あまりの＋名詞＋にあまりの＋名詞＋で|太…过度…
～以上／以上は／上は|名詞＋である以上（は）動詞普通形＋以上（は）／上は動た形＋上はい形普通形＋以上（は）な形普通形＋である／な＋以上（は）|既然…就…
～以来|名詞＋以来動て形＋以来|自从…以来以后～てから今までずっと～
～一方（で）|動詞普通形＋一方（で）い形容詞辞書形＋一方（で）な形容詞語幹＋な／である＋一方（で）名詞＋の／である＋一方（で）|一方面…，另一方面……的同时…与…相反
～一方／一方で／一方では～他方では～|動詞普通形＋一方（で）い形辞書形＋一方（で）な形語幹＋な／である＋一方（で）名詞＋である＋一方（で）一方では＋文、他方では＋文|"①一方面…另一方面…一边…一边……的同时…
②一方面…而另一方面却…与…相反"
～一方だ|動詞辞書形＋一方だ名詞＋の一方だ|不断地…越来越…一直…一个劲儿…
未だかつて～ない（いまだかつて～ない）|いまだかつて＋動ない形＋ないいまだかつて＋動た形＋ことがないいまだかつてなく＋形容詞|未曾…没有…
未だに～ない（いまだに～ない）|いまだ（に）＋動ない形＋ない|还（没有）仍古（未）
～うちが|名詞＋のうちがな形容詞語幹＋なうちがい形容詞普通形＋うちが動詞辞書形／動ている形＋うちが|在…时最…
～うちに／～ないうちに／～ているうちに／～ていないうちに|名詞＋のうちにな形容詞語幹＋なうちにな形容詞語幹＋ではないうちにい形容詞普通形＋うちに動ない形＋ないうちに動詞ている形＋うちに動詞辞書形＋うちに|在…之内在…过程中…趁…时趁还没…趁没…还没有…的时候…着…着
～うちは|名詞＋のうちはな形容詞語幹＋なうちはい形容詞普通形＋うちは動ている形＋うちは動ない形＋ないうちは|在…的时候在还没…的时候
～上／上に|動詞普通形＋上にい形容詞普通形＋上にな形容詞語幹＋な／である＋上に名詞＋である＋上に|不仅…而且…加上…
～上で（は）／～上での|名詞＋の＋上で（は）／上での動詞辞書形＋上で（は）／上での|在…方面在…上根据…来看
～おかげで／おかげだ|名詞＋の＋おかげで／おかげだ動詞普通形＋おかげで／おかげだい形容詞普通形＋おかげで／おかげだな形形容詞＋な＋おかげで／おかげだ|多亏…才…托…的福
～おきに|名詞＋おきに|每隔…～間隔でその間隔を空けて～
～恐れがある（おそれがある）|名詞＋の恐れがある動詞辞書形＋恐れがある動ない形＋恐れがある|恐怕会…／恐怕要…有…的危险有可能…～かもしれない（悪いこと）
～終わる／～終える|動ます形＋終わる（おわる）動ます形＋終える（おえる）|…完结束
