note_id	last modification time	tags	Index	Word	Transliteration	Meaning	Additional Information	Mnemonic	Part of Speech	Example Sentence	Sentence Transliteration	Sentence Translation	Word Audio	Sentence Audio	Pitch Accent URL	Pitch Accent
1621312679779	1757834268	core1000	1	行く	いく	to go		"""Every time you <u><b>go</b></u> fast, you have to cough and make an “<b><u>iku</u></b>” (<b><u>いく</u></b>) sound. Try sounding out iku iku iku really fast as you imagine yourself sprinting. Weird right?<br><img alt=""""A realistic and dynamic illustration of a person coughing while sprinting. The individual is shown mid-stride, with one hand covering their mouth in a coughing motion. They wear athletic clothing, such as a tank top and shorts, with sweat indicating intense physical effort. The background shows a running track or a natural trail, emphasizing the action. The scene captures movement and the struggle of coughing during a sprint, with a focus on realism and emotion."""" src=""""file-DAbrXDizX2oZ31tP1Sm2PB.webp"""" width=""""303"""">"""	Verb	日曜日は図書館に行きます。<br><br>私は夏休みにプールに行った。	にちようび は としょかん に いきます。<br><br>わたし は なつやすみ に ぷーる に いった。	I go to the library on Sundays.<br><br>I went to the pool during summer vacation. [sound:hypertts-40c8eb8d7ab87f736cfba4275e73f6293c1f22a1a52f471e1debad23.mp3]	[sound:行く.mp3]	[sound:行く-sentence-1.mp3][sound:行く-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:行く	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">く</span></span></span></span></span></td></tr><tr><td>~masu</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">き</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">ま</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">す</span></span></span></span></span></td></tr><tr><td>~te</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">て</span></span></span></span></span></td></tr><tr><td>~ta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~nai</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">い</span></span></span></span></span></td></tr><tr><td>~nakatta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-6""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-5""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""accent_top mola_-4""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~ba</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">け</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">ば</span></span></span></span></span></td></tr><tr><td>causative</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">せ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>passive</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>imperative</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">け</span></span></span></span></span></td></tr><tr><td>potential</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">け</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>volitional</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">こ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">う</span></span></span></span></span></td></tr></tbody></table>"""
1621313701396	1757834270	core1000	2	見る	みる	"""<span style=""""color: rgb(14, 130, 255);"""">to see, look at</span>"""		"""I <b><u>see</u></b> a <b><u>mirage</u></b> (<b><u>みる</u></b>) in front of me. Whoa!&nbsp;<div><img src=""""paste-f2aa95adcb1d164ebc8b506ef6d73f7940ed1cca.jpg""""><br></div>"""	Verb	私は絵を見るのが好きです。<br><br>仕事のあと、映画を見た。	わたし は え を みる の が すき です。<br><br>しごと の あと、 えいが を みた。	I like looking at pictures.<br><br>I saw a movie after work. [sound:hypertts-bd3dd860754b3d28368e8238d1c80f2342af479fa6f3fca199a41847.mp3]	[sound:見る.mp3]	[sound:見る-sentence-1.mp3][sound:見る-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:見る	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>~masu</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">ま</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">す</span></span></span></span></span></td></tr><tr><td>~te</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">て</span></span></span></span></span></td></tr><tr><td>~ta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~nai</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-3""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">い</span></span></span></span></span></td></tr><tr><td>~nakatta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-5""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~ba</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-3""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">ば</span></span></span></span></span></td></tr><tr><td>causative</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">さ</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">せ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>passive</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">ら</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>imperative</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">ろ</span></span></span></span></span></td></tr><tr><td>potential</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""accent_plain mola_-3""""><span class=""""inner""""><span class=""""char"""">ら</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>volitional</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">み</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">よ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">う</span></span></span></span></span></td></tr></tbody></table>"""
1621313751651	1757834273	core1000	3	多い	おおい	a lot of, many		"""<b><u>Ooi</u></b>! (<b><u>おおい</u></b>)&nbsp;There's <b><u>a lot of</u></b> them, so <u><b>many</b></u>! We can't fight all these guys!<br><img alt=""""https://images.deepai.org/art-image/65ca040fd3634b5fb35ba128ad800799/army-of-british-gangsters.jpg"""" src=""""output-b0dfae245c057ebf285bc04b4963b0ff4a5e1c27.jpg"""" width=""""304"""">"""	"""Adjective <font color=""""#8e8e93"""">(2)</font>"""	京都にはお寺が多い。<br><br>この道は車が多い。	きょうと に は おてら が おおい。<br><br>この みち は くるま が おおい。	There are a lot of temples in Kyoto.<br><br>There are many cars on this road. [sound:hypertts-a089fb99698326347379399b191e5c6d37704e08c1cb724c3d856a59.mp3]	[sound:多い.mp3]	[sound:多い-sentence-1.mp3][sound:多い-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:多い	"""<table class=""""pitch_accent_table""""><tbody><tr><td>~i+N</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-3""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">い</span></span></span></span></span></td></tr><tr><td>~idesu</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-5""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">で</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">す</span></span></span></span></span></td></tr><tr><td>~kute</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-4""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">く</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">て</span></span></span></span></span></td></tr><tr><td>~katta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-5""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~kunai</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-5""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">く</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">い</span></span></span></span></span></td></tr><tr><td>~kunakatta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-7""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-6""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-5""""><span class=""""inner""""><span class=""""char"""">く</span></span></span><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~kereba</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-5""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-4""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">け</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">ば</span></span></span></span></span></td></tr><tr><td>~i</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-3""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">い</span></span></span></span></span></td></tr><tr><td>~ku</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-3""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">お</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">く</span></span></span></span></span></td></tr></tbody></table>"""
1621313797697	1757834275	core1000	4	家	うち	home, household<br>	  — refers to a home in a more personal sense and can include the houeshold / family that lives there compared to&nbsp;いえ&nbsp;which is more about the physical structure<div>— ex uchi no neko = my house’s cat = my cat</div>	"""<img src=""""paste-caec9710b0be00fb6dc1fe59ba47dded97314abf.jpg"""" width=""""301"""">"""	"""Noun&nbsp;<span style=""""color: rgb(102, 102, 102);"""">(2)</span>"""	家に遊びにきてください。<br><br>夏休みにお祖母ちゃんの家へ行きました。	うち に あそび に きて ください。<br><br>なつやすみ に おばあちゃん の うち へ いきました。	Please come over to my home.<br><br>I went to my grandma's house during summer vacation. [sound:hypertts-e19408d6317ca29180584f0107010ec397b2a91f4b9a97cef0604f99.mp3]	[sound:家.mp3]	[sound:家-sentence-1.mp3][sound:家-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:家	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">う</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">ち</span></span></span></span></span></td></tr></tbody></table>"""
1621313857840	1757836268	core1000	5	これ	これ	this, this one			Pronoun	これをください。<br><br>これはあなたの鞄ですか。	これ を ください。<br><br>これ は あなた の かばん です か。	I'll have this please.<br><br>Is this your bag? [sound:hypertts-70243836e1c9776f38801e729ab9ba87c63dd98d34677fad55e6dfba.mp3]	[sound:これ.mp3]	[sound:これ-sentence-1.mp3][sound:これ-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:これ	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">こ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span></span></span></td></tr></tbody></table>"""
1621315702354	1757834279	core1000	6	それ	それ	that, that one			Pronoun	それはとてもいい話だ。<br><br>それを一つください。	それ は とても いい はなし だ。<br><br>それ を ひとつ ください。	That's a really nice story.<br><br>Please give me that one. [sound:hypertts-5bbbee7953ada176b4729da810d060c51e68f9c58cce0a6880c1f4ed.mp3]	[sound:それ.mp3]	[sound:それ-sentence-1.mp3][sound:それ-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:それ	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">そ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span></span></span></td></tr></tbody></table>"""
1621315762515	1757834280	core1000	7	私	わたし	I (general)			Pronoun	私が行きましょう。<br><br>私は毎朝コーヒーを飲みます。	わたし が いきましょう。<br><br>わたし は まいあさ こーひー を のみます。	I'll go.<br><br>I drink coffee every morning. [sound:hypertts-0c2f8cf1093ca474bdf5b00d2774671b8b41759c7d982afc8aab3ac4.mp3]	[sound:私.mp3]	[sound:私-sentence-1.mp3][sound:私-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:私	"""<table class=""""pitch_accent_table""""><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">わ</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">た</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">し</span></span></span></span></span></td></tr></table>"""
1621315823210	1757834282	core1000	8	仕事	しごと	work, job	— <b>しごと します:</b> to work	"""<font color=""""#ff9500""""> 仕</font> = serve, official<div><font color=""""#ff9500"""">事</font> = business, fact</div>"""	"""Verbal Noun <font color=""""#8e8e93"""">(2)</font>"""	3月は仕事が忙しい。<br><br>仕事のあと、映画を見た。	3 がつ は しごと が いそがしい。<br><br>しごと の あと、 えいが を みた。	I'm busy at work in March.<br><br>I saw a movie after work. [sound:hypertts-01f683441cc7720f610e2ca5050f71cb045a615e95f2aec0f9ced8c3.mp3]	[sound:仕事.mp3]	[sound:仕事-sentence-1.mp3][sound:仕事-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:仕事	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">ご</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">と</span></span></span></span></span></td></tr></tbody></table>"""
1621315873350	1757834283	core1000	9	いつ	いつ	when			Interrogative	彼女はいつ来ますか。<br><br>次はいつ会いましょうか。	かのじょ は いつ きます か。<br><br>つぎ は いつ あいましょう か。	When is she coming?<br><br>When shall we meet again? [sound:hypertts-df3530b685061035993e65ef122d9c3cb46368c80a911b91b4909c41.mp3]	[sound:いつ.mp3]	[sound:いつ-sentence-1.mp3][sound:いつ-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:いつ	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">い</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">つ</span></span></span></span></span></td></tr></tbody></table>"""
1621315962946	1757834285	core1000	10	する	する	"""to do, <span style=""""color: rgb(102, 102, 102);"""">to make, to wear accessories like earrings</span>"""			Verb	友達と一緒に宿題をした。<br><br>男の子たちがサッカーをしている。	ともだち と いっしょ に しゅくだい を した。<br><br>おとこのこ たち が さっかー を して いる 。	I did my homework with my friend.<br><br>The boys are playing soccer. [sound:hypertts-6bbedc6d85a0ecc4d9741ff2b1f9745b9a913f91fd491f005b5d050c.mp3]	[sound:する.mp3]	[sound:する-sentence-1.mp3][sound:する-sentence-2.mp3]	http://www.gavo.t.u-tokyo.ac.jp/ojad/eng/search/index/limit:100/word:する	"""<table class=""""pitch_accent_table""""><tbody><tr><td>dictionary form</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">す</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>~masu</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">ま</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">す</span></span></span></span></span></td></tr><tr><td>~te</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">て</span></span></span></span></span></td></tr><tr><td>~ta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~nai</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">い</span></span></span></span></span></td></tr><tr><td>~nakatta</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-5""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_top mola_-4""""><span class=""""inner""""><span class=""""char"""">な</span></span></span><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">か</span></span></span><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">っ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">た</span></span></span></span></span></td></tr><tr><td>~ba</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">す</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">ば</span></span></span></span></span></td></tr><tr><td>causative</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">さ</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">せ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>passive</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">さ</span></span></span><span class=""""accent_plain mola_-2""""><span class=""""inner""""><span class=""""char"""">れ</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>imperative</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-2""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_plain mola_-1""""><span class=""""inner""""><span class=""""char"""">ろ</span></span></span></span></span><br><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">せ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">よ</span></span></span></span></span></td></tr><tr><td>potential</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">で</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">き</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">る</span></span></span></span></span></td></tr><tr><td>volitional</td><td><span class=""""katsuyo_accent""""><span class=""""accented_word""""><span class=""""mola_-3""""><span class=""""inner""""><span class=""""char"""">し</span></span></span><span class=""""accent_top mola_-2""""><span class=""""inner""""><span class=""""char"""">よ</span></span></span><span class=""""mola_-1""""><span class=""""inner""""><span class=""""char"""">う</span></span></span></span></span></td></tr></tbody></table>"""
