word|transliteration
行く|いく
見る|みる
多い|おおい
家|うち
これ|これ
それ|それ
私|わたし
仕事|しごと
いつ|いつ
する|する
出る|でる
使う|つかう
所|ところ
作る|つくる
思う|おもう
持つ|もつ
買う|かう
時間|じかん
知る|しる
同じ|おなじ
今|いま
新しい|あたらしい
なる|なる
まだ|まだ
あと|あと
聞く|きく
言う|いう
少ない|すくない
高い|たかい
子供|こども
そう|そう
もう|もう
学生|がくせい
熱い|あつい
どうぞ|どうぞ
午後|ごご
長い|ながい
本|ほん
今年|ことし
よく|よく
彼女|かのじょ
どう|どう
言葉|ことば
顔|かお
終わる|おわる
一つ|ひとつ
あげる|あげる
こう|こう
学校|がっこう
くれる|くれる
始める<br>はじまる　始まる|はじめる
起きる|おきる
春|はる
午前|ごぜん
別|べつ
どこ|どこ
部屋|へや
若い|わかい
車|くるま
置く|おく
住む|すむ
働く|はたらく
難しい|むずかしい
先生|せんせい
立つ|たつ
呼ぶ|よぶ
大学|だいがく
安い|やすい
もっと|もっと
帰る|かえる
分かる|わかる
広い|ひろい
数|かず
近い|ちかい
そこ|そこ
走る|はしる
入れる|いれる
教える|おしえる
歩く|あるく
会う|あう
書く|かく
頭|あたま
売る|うる
大好き|だいすき
体|からだ
直ぐ|すぐ
飛ぶ|とぶ
とても|とても
誰|だれ
好き|すき
読む|よむ
次|つぎ
あなた|あなた
飲む|のむ
古い|ふるい
質問|しつもん
今日|きょう
友達|ともだち
早い|はやい
どれ|どれ
美しい|うつくしい
いつも|いつも
足|あし
起こす|おこす
見せる|みせる
娘|むすめ
楽しむ|たのしむ
色|いろ
みんな|みんな
取る|とる
勉強|べんきょう
できる|できる
短い|みじかい
落ちる|おちる
息子|むすこ
白い|しろい
飛行機|ひこうき
病気|びょうき
冬|ふゆ
年|とし
重い|おもい
胸|むね
払う|はらう
軽い|かるい
見つける|みつける
忘れる|わすれる
酒|さけ
どちら|どちら
姉|あね
覚える|おぼえる
狭い|せまい
赤い|あかい
着る|きる
笑う|わらう
一番|いちばん
授業|じゅぎょう
週|しゅう
漢字|かんじ
自転車|じてんしゃ
電車|でんしゃ
探す|さがす
紙|かみ
歌う|うたう
遅い|おそい
首|くび
速い|はやい
一緒に|いっしょに
今月|こんげつ
遊ぶ|あそぶ
遠い|とおい
弱い|よわい
耳|みみ
座る|すわる
右|みぎ
浴びる|あびる
肩|かた
寝る|ねる
消す|けす
元気|げんき
全部|ぜんぶ
去年|きょねん
引く|ひく
図書館|としょかん
上げる|上げる<br><div>上がる</div>
緑|みどり
腕|うで
ドア|どあ
女の子|おんなのこ
男の子|おとこのこ
私たち|わたしたち
近く|ちかく
やる|やる
かなり|かなり
国|くに
起こる|おこる
秋|あき
送る|おくる
死ぬ|しぬ
気持ち|きもち
乗る|のる
いる|いる
木|き
開ける|あける
閉める|しめる
続く|つづく
お医者さん|おいしゃさん
円|えん
ここ|ここ
待つ|まつ
低い|ひくい
もらう|もらう
食べる|たべる
兄|あに
名前|なまえ
夫|おっと
一|いち
結婚|けっこん
親|おや
話す|はなす
少し|すこし
閉じる|とじる
時|とき
米|こめ
切る|きる
楽しい|たのしい
服|ふく
後ろ|うしろ
嬉しい|うれしい
腰|こし
日曜日|にちようび
昼|ひる
お母さん|おかあさん
大学生|だいがくせい
終わり|おわり
背|せ
手伝う|てつだう
鼻|はな
起きる|おきる
載せる|のせる
悲しい|かなしい
しゃべる|しゃべる
近く|ちかく
甘い|あまい
テーブル|てーぶる
食べ物|たべもの
始まる|はじまる
ゲーム|げーむ
十|じゅう
天気|てんき
暑い|あつい
太い|ふとい
晩|ばん
土曜日|どようび
痛い|いたい
お父さん|おとうさん
多分|たぶん
時計|とけい
泊まる|とまる
どうして|どうして
掛ける|かける
曲がる|まがる
お腹|おなか
ミーティング|みーてぃんぐ
嫌い|きらい
金曜日|きんようび
要る|いる
無い|ない
黄色い|きいろい
風邪|かぜ
優しい|やさしい
晴れる|はれる
汚い|きたない
茶色|ちゃいろ
空く|すく
上る|のぼる
ご飯|ごはん
日|にち
髪の毛|かみのけ
つける|つける
月曜日|げつようび
入る|はいる
カタカナ|かたかな
今週|こんしゅう
開く|ひらく
水|みず
あれ|あれ
二|に
締める|しめる
まずい|まずい
平仮名|ひらがな
曇る|くもる
触る|さわる
駄目|だめ
飲み物|のみもの
木曜日|もくようび
曜日|ようび
そば|そば
こっち|こっち
火曜日|かようび
渇く|かわく
三|さん
水曜日|すいようび
二つ|ふたつ
今晩|こんばん
千|せん
六日|むいか
お姉さん|おねえさん
直る|なおる
ちょっと|ちょっと
四|よん
これから|これから
考える|かんがえる
戻る|もどる
変える|かえる
朝|あさ
歯|は
頑張る|がんばる
携帯電話|けいたいでんわ
雨|あめ
金|かね
易しい|やさしい
お兄さん|おにいさん
大きい|おおきい
小さい|ちいさい
辛い|からい
八|はち
あそこ|あそこ
来る|くる
前|まえ
五日|いつか
いっぱい|いっぱい
九|きゅう
酸っぱい|すっぱい
違う|ちがう
細い|ほそい
三つ|みっつ
八日|ようか
高校生|こうこうせい
上手|じょうず
強い|つよい
七|なな
二十日|はつか
左|ひだり
二日|ふつか
四つ|よっつ
暖かい|あたたかい
ある|ある
いい|いい
上|うえ
駅|えき
美味しい|おいしい
昨日|きのう
綺麗|きれい
五|ご
九つ|ここのつ
お願い|おねがい
答える|こたえる
先|さき
寒い|さむい
四|し
三日|みっか
下|した
大丈夫|だいじょうぶ
大人|おとな
出す|だす
父|ちち
母|はは
月|つき
妹|いもうと
冷たい|つめたい
弟|おとうと
手|て
十日|とおか
口|くち
夏|なつ
七つ|ななつ
時々|ときどき
何|なに
人|ひと
一人|ひとり
一日|ついたち
九日|ここのか
方|ほう
他|ほか
僕|ぼく
欲しい|ほしい
万|まん
見える|みえる
道|みち
五つ|いつつ
目|め
八つ|やっつ
止める|やめる
四日|よっか
夜|よる
来年|らいねん
六|ろく
悪い|わるい
お手洗い|おてあらい
ご主人|ごしゅじん
本当に|ほんとうに
自分|じぶん
ため|ため
見つかる|みつかる
休む|やすむ
ゆっくり|ゆっくり
六つ|むっつ
花|はな
動く|うごく
線|せん
七日|なのか
以外|いがい
男|おとこ
彼|かれ
女|おんな
妻|つま
百|ひゃく
辺|へん
店|みせ
閉まる|しまる
問題|もんだい
必要|ひつよう
もつ|もつ
開く|あく
昨年|さくねん
治る|なおる
ドル|どる
システム|しすてむ
以上|いじょう
最近|さいきん
世界|せかい
コンピューター|こんぴゅーたー
やる|やる
意味|いみ
増える|ふえる
選ぶ|えらぶ
生活|せいかつ
進める|すすめる
続ける|つづける
ほとんど|ほとんど
会社|かいしゃ
家|いえ
多く|おおく
話|はなし
上がる|あがる
もう|もう
集める|あつめる
声|こえ
初めて|はじめて
変わる|かわる
まず|まず
社会|しゃかい
プログラム|ぷろぐらむ
力|ちから
今回|こんかい
予定|よてい
まま|まま
テレビ|てれび
減る|へる
消える|きえる
家族|かぞく
比べる|くらべる
生まれる|うまれる
ただ|ただ
これら|これら
調べる|しらべる
事故|じこ
電話|でんわ
外国|がいこく
銀行|ぎんこう
十分|じゅうぶん
あまり|あまり
写真|しゃしん
繰り返す|くりかえす
種類|しゅるい
意見|いけん
新聞|しんぶん
文章|ぶんしょう
目立つ|めだつ
相手|あいて
病院|びょういん
厚い|あつい
忙しい|いそがしい
薄い|うすい
川|かわ
暗い|くらい
クラス|くらす
黒い|くろい
バス|ばす
青い|あおい
買い物|かいもの
薬|くすり
砂糖|さとう
休み|やすみ
郵便局|ゆうびんきょく
住所|じゅうしょ
こちら|こちら
財布|さいふ
パスポート|ぱすぽーと
椅子|いす
可愛い|かわいい
お祖父さん|おじいさん
切手|きって
涼しい|すずしい
いくつ|いくつ
メニュー|めにゅー
電気|でんき
勝つ|かつ
負ける|まける
建てる|たてる
日記|にっき
売り切れ|うりきれ
お巡りさん|おまわりさん
目覚まし時計|めざましどけい
レシート|れしーと
ティッシュ|てぃっしゅ
歯ブラシ|はぶらし
下りる|おりる
洗う|あらう
パート|ぱーと
氏名|しめい
今夜|こんや
夜中|よなか
来週|らいしゅう
誰か|だれか
何|なん
今朝|けさ
寿司|すし
履く|はく
おじさん|おじさん
おばさん|おばさん
お祖母さん|おばあさん
いとこ|いとこ
辞書|じしょ
朝ご飯|あさごはん
白|しろ
どっち|どっち
そっち|そっち
明日|あした
明後日|あさって
一昨日|おととい
庭|にわ
左側|ひだりがわ
右側|みぎがわ
指|ゆび
眼鏡|めがね
鞄|かばん
あっち|あっち
大人しい|おとなしい
下手|へた
厳しい|きびしい
一人で|ひとりで
答え|こたえ
この頃|このごろ
残念|ざんねん
仕舞う|しまう
心配|しんぱい
外|そと
大切|たいせつ
ちょうど|ちょうど
助ける|たすける
勤める|つとめる
連れていく|つれていく
丈夫|じょうぶ
賑やか|にぎやか
眠い|ねむい
山|やま
橋|はし
止まる|とまる
降る|ふる
本当|ほんとう
町|まち
お菓子|おかし
緩い|ゆるい
良い|よい
ようこそ|ようこそ
お土産|おみやげ
両親|りょうしん
ウェーター|うぇーたー
ウェートレス|うぇーとれす
絶対に|ぜったいに
ごちそう|ごちそう
フォーク|ふぉーく
スプーン|すぷーん
瓶|びん
付く|つく
醤油|しょうゆ
茶碗|ちゃわん
決める|きめる
感じる|かんじる
生きる|いきる
動かす|うごかす
壊れる|こわれる
復習|ふくしゅう
眉|まゆ
客|きゃく
机|つくえ
風呂|ふろ
湯|ゆ
ぬるい|ぬるい
風邪薬|かぜぐすり
靴下|くつした
たばこ|たばこ<br>きつえん
アイスコーヒー|あいすこーひー
天ぷら|てんぷら
肉|にく
昨夜|ゆうべ
流行る|はやる
連れてくる|つれてくる
方|かた
零|れい
雲|くも
空|そら
人気|にんき
兄さん|にいさん
姉さん|ねえさん
平成|へいせい
毎月|まいつき
半日|はんにち
半月|はんつき
なるほど|なるほど
つまり|つまり
そのまま|そのまま
はっきり|はっきり
大変|たいへん
簡単|かんたん
似ている|にている
驚く|おどろく
嫌|いや
喧嘩|けんか
遅れる|おくれる
にんじん|にんじん
ジャガイモ|じゃがいも
ナス|なす
やかん|やかん
話し合う|はなしあう
残す|のこす
ごちそうする|ごちそうする
合う|あう
当たる|あたる
集まる|あつまる
場所|ばしょ
海|うみ
少年|しょうねん
孫|まご
生徒|せいと
高校|こうこう
年上|としうえ
卒業|そつぎょう
運動|うんどう
選手|せんしゅ
映画|えいが
英語|えいご
手紙|てがみ
動物|どうぶつ
音|おと
海外|かいがい
外国人|がいこくじん
帰国|きこく
彼ら|かれら
機械|きかい
基本|きほん
今度|こんど
最後|さいご
最初|さいしょ
準備|じゅんび
進む|すすむ
直接|ちょくせつ
特に|とくに
届く|とどく
なぜ|なぜ
並ぶ|ならぶ
運ぶ|はこぶ
直す|なおす
反対|はんたい
場合|ばあい
詳しい|くわしい
いたずら|いたずら
お祝い|おいわい
くし|くし
こぼれる|こぼれる
伝える|つたえる
膝|ひざ
肘|ひじ
枕|まくら
建物|たてもの
道路|どうろ
四つ角|よつかど
曲がり角|まがりかど
警察|けいさつ
空気|くうき
スポーツ|すぽーつ
チャンス|ちゃんす
クリーニング|くりーにんぐ
サービス|さーびす
グループ|ぐるーぷ
自宅|じたく
家庭|かてい
期間|きかん
年度|ねんど
経験|けいけん
安全|あんぜん
危険|きけん
注意|ちゅうい
成功|せいこう
努力|どりょく
説明|せつめい
地震|じしん
手術|しゅじゅつ
火傷|やけど
課題|かだい
子|こ
確認|かくにん
実際|じっさい
国際|こくさい
会議|かいぎ
提案|ていあん
事務所|じむしょ
教授|きょうじゅ
世紀|せいき
あちこち|あちこち
そちら|そちら
あちら|あちら
もし|もし
うるさい|うるさい
 固い|かたい
深い|ふかい
面白い|おもしろい
全く|まったく
半分|はんぶん
普通|ふつう
分|ぶん
文化|ぶんか
毎日|まいにち
気を付ける|きをつける
守る|まもる
もちろん|もちろん
やはり|やはり
いくら|いくら
よろしく|よろしく
どなた|どなた
許す|ゆるす
分ける|わける
自然|しぜん
アパート|あぱーと
ホテル|ほてる
パソコン|ぱそこん
うまい|うまい
明るい|あかるい
急ぐ|いそぐ
歌|うた
中学校|ちゅうがっこう
テスト|てすと
ポスト|ぽすと
ハンカチ|はんかち
髪|かみ
帽子|ぼうし
被る|かぶる
ブラウス|ぶらうす
週末|しゅうまつ
先週|せんしゅう
再来週|さらいしゅう
いつか|いつか
宿題|しゅくだい
鍵|かぎ
傘|かさ
乗り換える|のりかえる
向かう|むかう
本屋|ほんや
お茶|おちゃ
改札口|かいさつぐち
晴れ|はれ
バス停|ばすてい
曇り|くもり
塩|しお
たくさん|たくさん
大嫌い|だいきらい
中|なか
二階|にかい
無くす|なくす
まあまあ|まあまあ
黄色|きいろ
ランチ|らんち
魚|さかな
味|あじ
りんご|りんご
みかん|みかん
皿|さら
コーヒー|こーひー
コップ|こっぷ
二人|ふたり
止む|やむ
九|く
昼間|ひるま
いつ頃|いつごろ
字|じ
七|しち
お釣り|おつり
名字|みょうじ
おじ|おじ
おば|おば
祖父|そふ
祖母|そぼ
大事|だいじ
見方|みかた
鳥|とり
犬|いぬ
返事|へんじ
また|また
年間|ねんかん
青|あお
赤|あか
信号|しんごう
円|えん
非常に|ひじょうに
複雑|ふくざつ
平和|へいわ
回る|まわる
若者|わかもの
雪|ゆき
うまい|うまい
思い出す|おもいだす
聞こえる|きこえる
借りる|かりる
返す|かえす
受け取る|うけとる
捨てる|すてる
一緒|いっしょ
遊び|あそび
移す|うつす
大きさ|おおきさ
考え|かんがえ
空港|くうこう
出発|しゅっぱつ
地図|ちず
運転|うんてん
降りる|おりる
ガス|がす
必ず|かならず
カメラ|かめら
通う|かよう
急に|きゅうに
サラリーマン|さらりーまん
給料|きゅうりょう
曲|きょく
切れる|きれる
正しい|ただしい
苦しい|くるしい
細かい|こまかい
静か|しずか
健康|けんこう
ゴルフ|ごるふ
コース|こーす
頼む|たのむ
困る|こまる
ずっと|ずっと
例えば|たとえば
つもり|つもり
しばらく|しばらく
紹介|しょうかい
小学校|しょうがっこう
公園|こうえん
中学|ちゅうがく
成績|せいせき
教科書|きょうかしょ
席|せき
教室|きょうしつ
教師|きょうし
試験|しけん
合格|ごうかく
数学|すうがく
数字|すうじ
音楽|おんがく
食事|しょくじ
壁|かべ
信じる|しんじる
育てる|そだてる
倒れる|たおれる
落とす|おとす
代わる|かわる
タクシー|たくしー
確か|たしか
立てる|たてる
中学生|ちゅうがくせい
売れる|うれる
着く|つく
決まる|きまる
飾る|かざる
殺す|ころす
下げる|さげる
贈る|おくる
訪ねる|たずねる
打つ|うつ
相談|そうだん
玄関|げんかん
兄弟|きょうだい
長男|ちょうなん
高さ|たかさ
用|よう
時代|じだい
位置|いち
季節|きせつ
穴|あな
裏|うら
島|しま
海岸|かいがん
ガラス|がらす
自然|しぜん
風|かぜ
科学|かがく
太陽|たいよう
台風|たいふう
北|きた
馬|うま
牛肉|ぎゅうにく
雑誌|ざっし
